
-----------------------------------------
| rollout/                |             |
|    policy_gradient_loss | -0.0194    |
|    value_loss           | 1.45       |
----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 213      |
|    ep_rew_mean          | 30.1     |
| time/                   |          |
|    fps                  | 1300     |
|    iterations           | 3145     |
|    time_elapsed         | 59453    |
|    total_timesteps      | 77291520 |
| train/                  |          |
|    approx_kl            | 0.019741 |
|    clip_fraction        | 0.0725   |
|    clip_range           | 0.25     |
|    entropy_loss         | -0.366   |
|    explained_variance   | 0.863    |
|    learning_rate        | 2.71e-05 |
|    loss                 | 0.241    |
|    n_updates            | 31440    |
|    policy_gradient_loss | -0.0195  |
|    value_loss           | 1.44     |
--------------------------------------

