
-----------------------------------------
| rollout/                |             |
| train/                  |             |
|    approx_kl            | 0.022634195 |
|    clip_fraction        | 0.076       |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.383      |
|    explained_variance   | 0.844       |
|    learning_rate        | 2.98e-05    |
|    loss                 | 0.253       |
|    n_updates            | 30700       |
|    policy_gradient_loss | -0.0197     |
|    value_loss           | 1.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 215         |
|    ep_rew_mean          | 29.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3072        |
|    time_elapsed         | 58045       |
|    total_timesteps      | 75497472    |
| train/                  |             |
|    approx_kl            | 0.022139573 |
|    clip_fraction        | 0.0763      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.386      |
|    explained_variance   | 0.842       |
|    learning_rate        | 2.98e-05    |
|    loss                 | 0.253       |
|    n_updates            | 30710       |
|    policy_gradient_loss | -0.0195     |
|    value_loss           | 1.5         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 217         |
|    ep_rew_mean          | 29.9        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3073        |
|    time_elapsed         | 58064       |
|    total_timesteps      | 75522048    |
| train/                  |             |
|    approx_kl            | 0.021616468 |
|    clip_fraction        | 0.0771      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.373      |
|    explained_variance   | 0.847       |
|    learning_rate        | 2.97e-05    |
|    loss                 | 0.239       |
|    n_updates            | 30720       |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 1.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 208         |
|    ep_rew_mean          | 28.4        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3074        |
|    time_elapsed         | 58083       |
|    total_timesteps      | 75546624    |
| train/                  |             |
|    approx_kl            | 0.024687113 |
|    clip_fraction        | 0.0779      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.383      |
|    explained_variance   | 0.86        |
|    learning_rate        | 2.97e-05    |
|    loss                 | 0.211       |
|    n_updates            | 30730       |
|    policy_gradient_loss | -0.0202     |
|    value_loss           | 1.35        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 208         |
|    ep_rew_mean          | 29.4        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3075        |
|    time_elapsed         | 58103       |
|    total_timesteps      | 75571200    |
| train/                  |             |
|    approx_kl            | 0.022121059 |
|    clip_fraction        | 0.0795      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.394      |
|    explained_variance   | 0.856       |
|    learning_rate        | 2.97e-05    |
|    loss                 | 0.244       |
|    n_updates            | 30740       |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 1.43        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 213         |
|    ep_rew_mean          | 29.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3076        |
|    time_elapsed         | 58122       |
|    total_timesteps      | 75595776    |
| train/                  |             |
|    approx_kl            | 0.023181668 |
|    clip_fraction        | 0.0789      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.391      |
|    explained_variance   | 0.859       |
|    learning_rate        | 2.96e-05    |
|    loss                 | 0.247       |
|    n_updates            | 30750       |
|    policy_gradient_loss | -0.0199     |
|    value_loss           | 1.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 225         |
|    ep_rew_mean          | 30.5        |
| time/                   |             |
|    fps                  | 1300        |
